datetime;JUNG;JUNG1;DRBS;KIEL2
2019-04-13 22:00:00;166.509;392.191;   null;188.761
2019-04-13 23:00:00;167.212;392.022;   null;188.118
2019-04-14 00:00:00;167.433;392.449;113.519;188.639
2019-04-14 01:00:00;167.687;392.025;113.513;189.033
2019-04-14 02:00:00;167.743;392.192;113.032;189.293
2019-04-14 03:00:00;167.439;393.888;113.613;188.507
2019-04-14 04:00:00;167.418;391.550;113.308;188.621
2019-04-14 05:00:00;167.398;391.826;112.908;188.174
2019-04-14 06:00:00;166.700;390.609;113.196;186.812
2019-04-14 07:00:00;167.292;390.971;112.818;187.411
2019-04-14 08:00:00;167.466;391.242;113.079;188.291
2019-04-14 09:00:00;167.253;390.660;112.926;187.969
2019-04-14 10:00:00;167.037;389.604;112.940;187.967
2019-04-14 11:00:00;166.654;390.418;112.885;188.078
2019-04-14 12:00:00;166.778;389.955;145.187;188.107
2019-04-14 13:00:00;166.750;390.456;112.938;188.301
2019-04-14 14:00:00;167.272;389.468;   null;187.795
2019-04-14 15:00:00;166.764;390.785;   null;188.837
2019-04-14 16:00:00;167.703;391.963;   null;188.510
2019-04-14 17:00:00;167.280;390.322;   null;188.263
2019-04-14 18:00:00;166.949;390.827;   null;188.319
2019-04-14 19:00:00;167.167;391.241;   null;187.670
2019-04-14 20:00:00;166.647;391.119;   null;188.228
2019-04-14 21:00:00;166.888;392.262;   null;188.239
2019-04-14 22:00:00;166.106;390.723;   null;187.871
2019-04-14 23:00:00;166.098;390.178;   null;187.831
2019-04-15 00:00:00;165.533;390.136;   null;188.045
2019-04-15 01:00:00;165.629;389.775;   null;186.570
2019-04-15 02:00:00;166.557;390.706;   null;187.172
2019-04-15 03:00:00;166.393;390.157;   null;187.036
2019-04-15 04:00:00;166.162;390.474;   null;187.359
2019-04-15 05:00:00;166.507;389.887;   null;187.529
2019-04-15 06:00:00;166.251;390.045;   null;186.820
2019-04-15 07:00:00;166.330;389.200;   null;187.063
2019-04-15 08:00:00;165.819;389.968;   null;187.385
2019-04-15 09:00:00;166.139;390.920;   null;187.867
2019-04-15 10:00:00;165.895;390.333;113.411;187.899
2019-04-15 11:00:00;165.890;389.603;112.926;187.981
2019-04-15 12:00:00;165.564;390.335;112.870;187.491
2019-04-15 13:00:00;165.489;389.962;113.190;186.806
2019-04-15 14:00:00;166.090;390.371;113.236;187.183
2019-04-15 15:00:00;165.577;388.824;113.138;186.924
2019-04-15 16:00:00;165.895;389.865;112.895;187.849
2019-04-15 17:00:00;166.282;389.944;112.656;188.127
2019-04-15 18:00:00;166.307;390.979;112.766;188.133
2019-04-15 19:00:00;166.279;391.752;112.951;188.054
2019-04-15 20:00:00;167.246;391.663;113.327;187.615
2019-04-15 21:00:00;167.253;392.943;113.425;187.904
2019-04-15 22:00:00;167.117;391.990;113.351;188.160
2019-04-15 23:00:00;166.774;389.833;112.588;188.433
2019-04-16 00:00:00;166.167;388.955;113.046;187.880
2019-04-16 01:00:00;165.926;389.055;111.980;187.536
2019-04-16 02:00:00;165.715;388.801;112.501;187.550
2019-04-16 03:00:00;165.722;388.000;113.088;187.678
2019-04-16 04:00:00;166.262;387.962;112.902;187.824
2019-04-16 05:00:00;166.188;388.869;112.481;188.214
2019-04-16 06:00:00;166.232;391.001;112.876;187.643
2019-04-16 07:00:00;166.610;390.261;113.088;187.989
2019-04-16 08:00:00;166.796;391.201;112.916;188.819
2019-04-16 09:00:00;166.798;391.193;113.950;188.794
2019-04-16 10:00:00;166.834;391.365;113.228;189.126
2019-04-16 11:00:00;167.244;391.474;116.111;188.790
2019-04-16 12:00:00;167.514;391.963;114.051;188.391
2019-04-16 13:00:00;167.812;391.398;113.402;189.018
2019-04-16 14:00:00;166.980;391.205;113.739;188.768
2019-04-16 15:00:00;166.907;391.512;112.998;188.777
2019-04-16 16:00:00;166.962;389.860;113.004;188.934
2019-04-16 17:00:00;166.607;389.741;112.699;188.602
2019-04-16 18:00:00;166.642;391.070;113.105;188.700
2019-04-16 19:00:00;167.040;389.945;112.881;188.207
2019-04-16 20:00:00;166.295;388.894;112.559;188.117
2019-04-16 21:00:00;166.744;388.479;112.630;188.441
2019-04-16 22:00:00;165.651;389.026;112.560;188.558
2019-04-16 23:00:00;165.778;388.151;112.688;188.959
2019-04-17 00:00:00;165.899;388.306;112.925;187.658
2019-04-17 01:00:00;166.016;388.625;112.582;188.192
2019-04-17 02:00:00;166.023;387.454;112.454;187.500
2019-04-17 03:00:00;165.380;387.360;112.421;187.605
2019-04-17 04:00:00;166.078;388.425;112.487;188.119
2019-04-17 05:00:00;166.130;388.464;112.704;187.548
2019-04-17 06:00:00;166.052;389.311;112.870;187.852
2019-04-17 07:00:00;166.371;388.196;113.425;188.235
2019-04-17 08:00:00;166.614;388.793;113.268;188.685
2019-04-17 09:00:00;167.020;389.352;113.037;188.277
2019-04-17 10:00:00;166.390;388.342;113.081;187.966
2019-04-17 11:00:00;166.950;389.992;112.627;188.075
2019-04-17 12:00:00;167.037;389.594;113.104;188.882
2019-04-17 13:00:00;167.142;390.335;113.379;188.743
2019-04-17 14:00:00;166.958;389.572;113.436;189.233
2019-04-17 15:00:00;166.806;390.515;112.968;188.467
2019-04-17 16:00:00;166.383;390.315;113.192;188.965
2019-04-17 17:00:00;166.772;389.688;113.442;189.296
2019-04-17 18:00:00;166.926;391.503;112.977;188.216
2019-04-17 19:00:00;167.265;391.064;113.055;188.868
2019-04-17 20:00:00;167.084;390.935;113.331;188.415
2019-04-17 21:00:00;167.268;390.844;113.471;188.462
2019-04-17 22:00:00;166.790;389.297;113.235;188.472
2019-04-17 23:00:00;166.546;388.557;113.069;188.752
2019-04-18 00:00:00;165.876;389.635;112.314;188.446
2019-04-18 01:00:00;165.586;388.615;112.983;187.374
2019-04-18 02:00:00;166.395;388.495;112.851;187.329
2019-04-18 03:00:00;166.126;387.215;112.359;187.665
2019-04-18 04:00:00;165.859;388.910;112.735;188.215
2019-04-18 05:00:00;166.191;388.946;113.033;188.836
2019-04-18 06:00:00;165.748;388.328;113.186;187.751
2019-04-18 07:00:00;166.356;388.901;113.246;187.705
2019-04-18 08:00:00;166.508;388.499;113.194;187.923
2019-04-18 09:00:00;166.246;389.199;112.836;187.524
2019-04-18 10:00:00;166.307;388.910;112.942;187.664
2019-04-18 11:00:00;165.876;389.482;113.350;187.292
2019-04-18 12:00:00;166.180;388.727;112.405;188.191
2019-04-18 13:00:00;166.327;388.801;113.452;187.303
2019-04-18 14:00:00;166.005;389.851;113.240;187.784
2019-04-18 15:00:00;166.701;390.136;112.703;187.711
2019-04-18 16:00:00;166.574;389.974;112.850;188.058
2019-04-18 17:00:00;166.481;390.042;113.362;187.641
2019-04-18 18:00:00;166.157;391.056;113.004;187.963
2019-04-18 19:00:00;166.764;389.632;113.132;188.336
2019-04-18 20:00:00;166.186;389.938;113.088;187.401
2019-04-18 21:00:00;166.453;391.450;112.702;187.899
2019-04-18 22:00:00;166.600;390.336;112.798;187.772
2019-04-18 23:00:00;166.401;390.309;113.247;187.716
2019-04-19 00:00:00;165.949;389.261;113.173;187.897
2019-04-19 01:00:00;166.360;389.147;112.458;188.023
2019-04-19 02:00:00;165.937;389.865;112.935;187.108
2019-04-19 03:00:00;166.286;388.534;112.750;188.476
2019-04-19 04:00:00;166.098;390.229;112.938;187.857
2019-04-19 05:00:00;166.539;390.874;113.153;188.665
2019-04-19 06:00:00;166.235;389.991;112.925;188.758
2019-04-19 07:00:00;166.577;388.913;112.699;188.682
2019-04-19 08:00:00;165.922;390.229;113.233;188.310
2019-04-19 09:00:00;166.578;389.599;112.726;187.799
2019-04-19 10:00:00;165.781;388.595;112.824;187.947
2019-04-19 11:00:00;165.690;390.100;113.173;187.614
2019-04-19 12:00:00;166.454;389.907;113.612;188.019
2019-04-19 13:00:00;166.593;389.885;112.988;188.466
2019-04-19 14:00:00;166.322;389.553;113.229;188.007
2019-04-19 15:00:00;166.023;389.369;112.591;187.736
2019-04-19 16:00:00;165.227;389.136;112.693;187.600
